Punkt,X (Pixel),Y (Pixel),Y (Math. H̦he)
0,22,159,451
1,46,148,462
2,70,137,473
3,94,127,483
4,118,118,492
5,141,108,502
6,164,98,512
7,186,90,520
8,208,82,528
9,231,73,537
10,254,66,544
11,278,60,550
12,302,54,556
13,326,48,562
14,350,44,566
15,374,40,570
16,399,37,573
17,423,35,575
18,447,34,576
19,472,34,576
20,496,35,575
21,521,36,574
22,545,39,571
23,570,42,568
24,594,47,563
25,619,52,558
26,643,58,552
27,667,65,545
28,691,72,538
29,713,80,530
30,734,87,523
31,755,94,516
32,775,101,509
33,796,109,501
34,816,117,493
35,837,124,486
36,857,131,479
37,877,139,471
38,898,146,464
39,919,154,456
40,938,163,447